# Zeit in s	Zeit in min	Strom in 10^-14 A	Temperatur in 10^-1 �C
0	0	43	-617
30	0.5	44	-611
60	1	44	-603
90	1.5	57	-596
120	2	49	-589
150	2.5	46	-582
180	3	42	-575
210	3.5	56	-567
240	4	38	-562
270	4.5	20	-555
300	5	36	-548
330	5.5	25	-542
360	6	20	-537
390	6.5	60	-530
420	7	18	-524
450	7.5	25	-518
480	8	30	-512
510	8.5	11	-506
540	9	0	-500
570	9.5	30	-495
600	10	23	-489
630	10.5	33	-483
660	11	53	-478
690	11.5	56	-472
720	12	63	-468
750	12.5	80	-462
780	13	85	-457
810	13.5	65	-452
840	14	35	-446
870	14.5	13	-442
#900	15	-	-436
930	15.5	65	-433
960	16	13	-428
990	16.5	13	-423
1020	17	14	-418
1050	17.5	15	-414
1080	18	25	-409
1110	18.5	19	-405
1140	19	64	-400
1170	19.5	130	-394
1200	20	430	-389
1230	20.5	400	-383
#1260	21	-	-377
1290	21.5	110	-372
1320	22	110	-367
1350	22.5	120	-362
1380	23	130	-357
1410	23.5	130	-352
1440	24	135	-347
1470	24.5	140	-342
1500	25	150	-337
1530	25.5	160	-332
1560	26	170	-327
1590	26.5	180	-322
1620	27	195	-318
1650	27.5	205	-313
1680	28	220	-309
1710	28.5	235	-304
1740	29	250	-300
1770	29.5	260	-295
1800	30	290	-290
1830	30.5	300	-285
1860	31	310	-281
1890	31.5	330	-276
1920	32	350	-272
1950	32.5	370	-267
1980	33	390	-262
2010	33.5	400	-258
2040	34	420	-253
2070	34.5	450	-249
2100	35	460	-244
2130	35.5	490	-240
2160	36	500	-235
2190	36.5	520	-230
2220	37	540	-225
2250	37.5	550	-221
2280	38	570	-217
2310	38.5	580	-212
2340	39	600	-207
2370	39.5	610	-202
2400	40	620	-198
2430	40.5	630	-193
2460	41	640	-188
2490	41.5	640	-184
2520	42	640	-179
2550	42.5	640	-174
2580	43	630	-169
2610	43.5	630	-164
2640	44	620	-159
2670	44.5	610	-154
2700	45	600	-149
2730	45.5	580	-145
2760	46	560	-140
2790	46.5	540	-135
2820	47	520	-130
2850	47.5	490	-125
2880	48	470	-120
2910	48.5	440	-115
2940	49	410	-110
2970	49.5	380	-105
3000	50	350	-101
3030	50.5	330	-96
3060	51	300	-91
3090	51.5	280	-86
3120	52	260	-81
3150	52.5	250	-75
3180	53	220	-70
3210	53.5	205	-65
3240	54	195	-60
3270	54.5	180	-55
3300	55	175	-50
3330	55.5	165	-45
3360	56	160	-40
3390	56.5	160	-35
3420	57	155	-30
3450	57.5	155	-24
3480	58	160	-19
3510	58.5	160	-14
3540	59	160	-9
3570	59.5	165	-4
3600	60	165	0
3630	60.5	165	4
3660	61	170	8
3690	61.5	170	12
3720	62	175	18
3750	62.5	175	22
3780	63	180	27
3810	63.5	185	32
3840	64	190	37
3870	64.5	195	42
3900	65	195	48
3930	65.5	200	54
3960	66	205	59
3990	66.5	210	64
4020	67	215	69
4050	67.5	220	75
4080	68	225	79
4110	68.5	230	84
4140	69	235	89
4170	69.5	235	94
4200	70	240	99
4230	70.5	245	103
4260	71	245	108
4290	71.5	250	113
4320	72	255	118
4350	72.5	255	123
4380	73	260	127
4410	73.5	265	132
4440	74	270	137
4470	74.5	280	142
4500	75	290	147
4530	75.5	290	152
4560	76	300	158
4590	76.5	300	162
4620	77	310	167
4650	77.5	310	172
4680	78	320	177
4710	78.5	330	182
4740	79	340	187
4770	79.5	340	192
4800	80	350	196
4830	80.5	360	201
4860	81	360	206
4890	81.5	370	211
4920	82	380	216
4950	82.5	390	221
4980	83	400	226
5010	83.5	410	232
5040	84	420	236
5070	84.5	430	241
5100	85	440	246
5130	85.5	450	251
5160	86	460	256
5190	86.5	470	261
5220	87	480	266
5250	87.5	490	271
5280	88	500	276
5310	88.5	510	281
5340	89	520	285
5370	89.5	530	290
5400	90	540	295
5430	90.5	550	300
5460	91	560	305
5490	91.5	570	310
5520	92	580	315
5550	92.5	590	320
5580	93	600	325
5610	93.5	610	330
5640	94	610	335
5670	94.5	620	340
5700	95	630	344
5730	95.5	640	350
5760	96	650	355
5790	96.5	650	360
5820	97	660	365
5850	97.5	670	370
5880	98	670	375
5910	98.5	680	380
5940	99	690	386
5970	99.5	720	390
6000	100	690	396
6030	100.5	690	401
6060	101	690	406
6090	101.5	690	410
6120	102	690	415
6150	102.5	690	419
6180	103	690	424
6210	103.5	690	428
6240	104	680	432
6270	104.5	680	437
6300	105	670	441
6330	105.5	660	446
6360	106	660	451
6390	106.5	660	456
6420	107	660	461
6450	107.5	650	466
6480	108	650	471
6510	108.5	640	476
6540	109	640	482
6570	109.5	640	486
6600	110	630	491
6630	110.5	620	496
6660	111	620	500
