# Zeit in s	Zeit in min	Strom in 10^-11 A	Temperatur in �C
0	0	0.028	-55.3
30	0.5	0.028	-54.3
60	1	0.026	-53.4
90	1.5	0.021	-52.4
120	2	0.023	-51.2
150	2.5	0.023	-50.5
180	3	0.024	-49.6
210	3.5	0.023	-48.7
240	4	0.021	-47.8
270	4.5	0.02	-46.9
300	5	0.02	-45.9
330	5.5	0.039	-45
360	6	0.1	-44.4
390	6.5	0.1	-43.6
420	7	0.1	-42.9
450	7.5	0.09	-42.1
480	8	0.09	-41.3
510	8.5	0.083	-40.5
540	9	0.084	-39.8
570	9.5	0.088	-39
600	10	0.093	-38.4
630	10.5	0.11	-37.6
660	11	0.12	-36.4
690	11.5	0.12	-36.7
720	12	0.13	-35.5
750	12.5	0.15	-34.8
780	13	0.16	-34.2
810	13.5	0.17	-33.5
840	14	0.19	-32.9
870	14.5	0.2	-32.2
900	15	0.22	-31.6
930	15.5	0.25	-30.9
960	16	0.27	-30.2
990	16.5	0.29	-29.7
1020	17	0.31	-29
1050	17.5	0.34	-28.5
1080	18	0.37	-27.9
1110	18.5	0.39	-27.7
1140	19	0.43	-26.7
1170	19.5	0.46	-26.1
1200	20	0.49	-25.6
1230	20.5	0.53	-25
1260	21	0.56	-24.4
1290	21.5	0.6	-23.8
1320	22	0.64	-23.3
1350	22.5	0.67	-22.6
1380	23	0.71	-22.1
1410	23.5	0.75	-21.6
1440	24	0.74	-20.9
1470	24.5	0.83	-20.2
1500	25	0.87	-19.6
1530	25.5	0.91	-19
1560	26	0.95	-18.4
1590	26.5	1	-17.7
1620	27	1.1	-16.5
1650	27.5	1.15	-16
1680	28	1.2	-15.1
1710	28.5	1.2	-14
1740	29	1.25	-13.2
1770	29.5	1.3	-12.2
1800	30	1.3	-11.2
1830	30.5	1.3	-10.2
1860	31	1.3	-9.1
1890	31.5	1.35	-8.1
1920	32	1.2	-7.2
1950	32.5	1.15	-6.2
1980	33	1.1	-5.3
2010	33.5	0.95	-4.3
2040	34	0.85	-3.4
2070	34.5	0.8	-2.4
2100	35	0.7	-1.6
2130	35.5	0.65	-0.8
2160	36	0.6	0.2
2190	36.5	0.55	1.2
2220	37	0.55	2.2
2250	37.5	0.55	3.3
2280	38	0.6	4.4
2310	38.5	0.6	5.6
2340	39	0.6	6.7
2370	39.5	0.65	7.8
2400	40	0.7	8.9
2430	40.5	0.7	10
2460	41	0.71	11.1
2490	41.5	0.74	12
2520	42	0.77	13.1
2550	42.5	0.8	14.1
2580	43	0.82	15.1
2610	43.5	0.85	16.1
2640	44	0.88	17
2670	44.5	0.91	18
2700	45	0.95	18.9
2730	45.5	0.95	19.8
2760	46	1.05	20.7
2790	46.5	1.05	21.8
2820	47	1.1	22.7
2850	47.5	1.2	23.7
2880	48	1.2	24.7
2910	48.5	1.3	25.7
2940	49	1.4	26.7
2970	49.5	1.45	27.7
3000	50	1.5	28.7
3030	50.5	1.6	29.7
3060	51	1.65	30.6
3090	51.5	1.8	31.6
3120	52	1.9	32.6
3150	52.5	2	33.4
3180	53	2.05	34.3
3210	53.5	2.15	35.3
3240	54	2.3	36.1
3270	54.5	2.35	37.1
3300	55	2.4	38
3330	55.5	2.6	39
3360	56	2.55	39.8
3390	56.5	2.6	40.9
3420	57	2.65	41.9
3450	57.5	2.7	42.8
3480	58	2.7	43.9
3510	58.5	2.75	44.9
3540	59	2.7	45.9
3570	59.5	2.7	46.9
3600	60	2.65	47.9
3630	60.5	2.55	48.9
3660	61	2.45	49.9
3690	61.5	2.35	50.8
3720	62	2.25	51.9
3750	62.5	2.1	52.8
3780	63	2	53.7
3810	63.5	1.9	54.7
3840	64	1.75	55.6
3870	64.5	1.6	56.5
3900	65	1.5	57.4
3930	65.5	1.4	58.3
3960	66	1.2	59.2
3990	66.5	1.15	60
